,gender,department,department_name,division,assignment_category,employee_position_title,date_first_hired,year_first_hired
64,M,DOT,Department of Transportation,Highway Services,Fulltime-Regular,Equipment Operator I,10/30/2006,2006
65,M,DPS,Department of Permitting Services,Team 1 Residential Plan Review,Fulltime-Regular,Senior Permitting Services Specialist,03/13/1989,1989
66,F,HHS,Department of Health and Human Services,Income Supports,Fulltime-Regular,Income Assistance Program Specialist I,10/17/2016,2016
67,F,POL,Department of Police,MSB Personnel Division,Fulltime-Regular,Administrative Specialist III,04/10/1989,1989
68,M,POL,Department of Police,PSB 4th District Patrol,Fulltime-Regular,Police Officer II,07/16/2012,2012
69,M,DPS,Department of Permitting Services,Team 1 Residential Plan Review,Fulltime-Regular,Senior Permitting Services Specialist,04/18/1988,1988
70,F,LIB,Department of Public Libraries,Bethesda Library,Parttime-Regular,Library Aide,07/08/2005,2005
71,M,FIN,Department of Finance,Treasury Operations,Fulltime-Regular,Accountant/Auditor III,04/19/1999,1999
72,F,COR,Correction and Rehabilitation,DS Health Services,Fulltime-Regular,Correctional Health Nurse II,11/02/2015,2015
73,F,DEP,Department of Environmental Protection,Management Services,Fulltime-Regular,Administrative Specialist II,01/31/2011,2011
74,F,HHS,Department of Health and Human Services,Area Health Centers,Fulltime-Regular,Administrative Specialist III,03/26/2012,2012
75,F,HHS,Department of Health and Human Services,Child Welfare Services,Fulltime-Regular,Social Worker II,10/17/2016,2016
76,M,HHS,Department of Health and Human Services,School Health Services Center,Parttime-Regular,School Health Room Technician I,07/26/2016,2016
77,F,HHS,Department of Health and Human Services,Medical Assistance Eligibility Services,Fulltime-Regular,Income Assistance Program Specialist II,03/21/2005,2005
78,M,POL,Department of Police,PSB 3rd District Patrol,Fulltime-Regular,Police Officer II,08/12/2013,2013
79,F,HHS,Department of Health and Human Services,Area Health Centers,Fulltime-Regular,Community Services Aide III,06/12/2006,2006
80,M,HHS,Department of Health and Human Services,Latino Health Initiative,Fulltime-Regular,Program Specialist II,04/07/2014,2014
81,F,HHS,Department of Health and Human Services,Child Welfare Services,Fulltime-Regular,Community Services Aide III,10/30/2006,2006
82,M,DOT,Department of Transportation,Transit Gaithersburg Ride On,Fulltime-Regular,Bus Operator,02/11/2008,2008
83,F,HHS,Department of Health and Human Services,Child Welfare Services,Fulltime-Regular,Social Worker III,06/23/2008,2008
84,F,HHS,Department of Health and Human Services,Director's Office,Fulltime-Regular,Director Department of Health and Human Services,02/13/2007,2007
85,F,HHS,Department of Health and Human Services,Income Supports,Fulltime-Regular,Income Assistance Program Specialist II,07/28/2014,2014
86,M,HRC,Office of Human Rights,Director's Office,Fulltime-Regular,Office Services Coordinator,10/14/2002,2002
87,F,HHS,Department of Health and Human Services,School Health Services,Parttime-Regular,School Health Room Technician I,08/01/2011,2011
88,M,DGS,Department of General Services,Building Design and Construction,Fulltime-Regular,Construction Representative III,12/11/2006,2006
89,M,DOT,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Bus Operator,03/12/2007,2007
90,M,DOT,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Bus Operator,03/02/2008,2008
91,M,DLC,Department of Liquor Control,Potomac,Parttime-Regular,Liquor Store Clerk I,11/16/2015,2015
92,F,BOA,Board of Appeals Department,Board of Appeals Division,Fulltime-Regular,Office Services Coordinator,11/13/2007,2007
93,F,POL,Department of Police,FSB Animal Services Division,Fulltime-Regular,Registered Veterinary Technician,12/01/2014,2014
94,F,REC,Department of Recreation,Facilities Division,Fulltime-Regular,Recreation Coordinator,06/07/2012,2012
95,M,COR,Correction and Rehabilitation,DS MCDC Custody and Security,Fulltime-Regular,Correctional Officer III (Corporal),02/05/2007,2007
96,F,DLC,Department of Liquor Control,Muddy Branch,Parttime-Regular,Liquor Store Clerk I,04/23/2012,2012
97,M,COR,Correction and Rehabilitation,DS MCDC Custody and Security,Fulltime-Regular,Correctional Officer II (PFC),06/01/2004,2004
98,F,DLC,Department of Liquor Control,Walnut Hill,Parttime-Regular,Liquor Store Clerk I,05/20/2012,2012
99,M,DOT,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Bus Operator,03/26/2007,2007
100,F,HHS,Department of Health and Human Services,Child Welfare Services,Fulltime-Regular,Principal Administrative Aide,05/21/2012,2012
101,M,POL,Department of Police,MSB Information Management and Technology Division Data Systems Section,Fulltime-Regular,Information Technology Technician III,11/30/2015,2015
102,M,HHS,Department of Health and Human Services,Income Supports,Fulltime-Regular,Income Assistance Program Specialist I,02/22/2016,2016
103,M,DGS,Department of General Services,Building Design and Construction,Fulltime-Regular,Construction Representative III,08/22/2005,2005
104,M,COR,Correction and Rehabilitation,DS MCDC Custody and Security,Fulltime-Regular,Correctional Officer III (Corporal),11/29/2004,2004
105,M,DTS,Department of Technology Services,EASD Web and Mobile Applications,Fulltime-Regular,Information Technology Specialist II,05/15/2006,2006
106,M,LIB,Department of Public Libraries,Materials Delivery,Fulltime-Regular,Driver/Clerk,09/29/2008,2008
107,M,FRS,Fire and Rescue Services,Station 30,Fulltime-Regular,Firefighter/Rescuer III,05/08/2011,2011
108,M,DOT,Department of Transportation,Transit Nicholson Ride On,Fulltime-Regular,Bus Operator,05/20/2013,2013
109,F,DOT,Department of Transportation,Parking Management Financial Management,Fulltime-Regular,Fiscal Assistant,11/05/2001,2001
110,M,DGS,Department of General Services,Fleet Management Fleet Services,Fulltime-Regular,Mechanic Technician II,03/03/2008,2008
111,F,HHS,Department of Health and Human Services,Tuberculosis Program,Fulltime-Regular,Community Health Nurse II,01/23/2008,2008
112,M,LIB,Department of Public Libraries,Long Branch Library,Fulltime-Regular,Library Assistant Supervisor,09/24/1990,1990
113,F,DLC,Department of Liquor Control,Milestone,Fulltime-Regular,Liquor Store Assistant Manager,10/08/2002,2002
114,M,DOT,Department of Transportation,Highway Services,Fulltime-Regular,Equipment Operator I,10/29/2000,2000
115,M,DOT,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Bus Operator,04/04/2016,2016
116,F,POL,Department of Police,FSB Traffic Division School Safety Section,Parttime-Regular,Crossing Guard,10/02/2000,2000
117,F,LIB,Department of Public Libraries,Damascus Library,Fulltime-Regular,Librarian II,05/01/1989,1989
118,M,HHS,Department of Health and Human Services,Income Supports,Fulltime-Regular,Income Assistance Program Specialist II,03/19/2001,2001
119,F,HHS,Department of Health and Human Services,Child Welfare Services,Fulltime-Regular,Social Worker III,08/20/2007,2007
120,M,COR,Correction and Rehabilitation,DS MCDC Inmate Property,Fulltime-Regular,Correctional Officer III (Corporal),08/06/2007,2007
121,M,REC,Department of Recreation,Office of the Director,Fulltime-Regular,Director Department of Recreation,01/30/2007,2007
122,F,HHS,Department of Health and Human Services,Income Supports,Fulltime-Regular,Income Assistance Program Specialist III,03/28/1999,1999
123,M,HHS,Department of Health and Human Services,Medical Assistance Eligibility Services,Fulltime-Regular,Income Assistance Program Specialist II,03/03/2003,2003
124,M,DTS,Department of Technology Services,Media Services,Fulltime-Regular,Information Technology Specialist III,02/08/2016,2016
125,F,DLC,Department of Liquor Control,Seneca Meadows,Parttime-Regular,Liquor Store Clerk I,08/25/2013,2013
126,F,DOT,Department of Transportation,Transit Gaithersburg Ride On,Fulltime-Regular,Bus Operator,09/29/2014,2014
127,F,HHS,Department of Health and Human Services,Income Supports,Fulltime-Regular,Program Specialist II,11/14/2005,2005
128,M,FRS,Fire and Rescue Services,Station 9,Fulltime-Regular,Fire/Rescue Captain,02/26/1990,1990
129,M,SHF,Sheriff's Office,Court and Transport,Fulltime-Regular,Deputy Sheriff Sergeant,08/19/1996,1996
130,M,HCA,Department of Housing and Community Affairs,Housing Code Enforcement,Fulltime-Regular,Housing Code Inspector II,09/08/1997,1997
131,M,HHS,Department of Health and Human Services,Child and Adolescent Mental Health Clinic Services,Fulltime-Regular,Therapist I,02/08/2016,2016
132,M,FRS,Fire and Rescue Services,Station 35,Fulltime-Regular,Firefighter/Rescuer II,03/10/2014,2014
133,M,DGS,Department of General Services,Building Design and Construction,Fulltime-Regular,Senior Architect,04/17/2006,2006
134,M,DOT,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Bus Operator,11/26/2007,2007
135,M,POL,Department of Police,PSB 1st District Patrol,Fulltime-Regular,Police Officer III,07/17/2006,2006
136,F,POL,Department of Police,PSB 3rd District Patrol,Fulltime-Regular,Master Police Officer,02/06/1995,1995
137,F,HHS,Department of Health and Human Services,School Health Services,Parttime-Regular,School Health Room Technician I,08/06/2012,2012
138,F,POL,Department of Police,ISB Major Crimes Division Victim Witness Assistance Section,Fulltime-Regular,Program Manager II,12/01/1998,1998
139,M,DLC,Department of Liquor Control,Beer Delivery Operations,Fulltime-Regular,Truck Driver Helper/Warehouse Worker,08/15/1988,1988
140,M,COR,Correction and Rehabilitation,DS MCCF Unit 3 Security,Fulltime-Regular,Correctional Officer II (PFC),06/02/2014,2014
141,M,COR,Correction and Rehabilitation,PRRS Assessment and Quality Services,Fulltime-Regular,Correctional Specialist V,08/26/1996,1996
142,M,FRS,Fire and Rescue Services,Station 2,Fulltime-Regular,Firefighter/Rescuer III,03/17/2008,2008
143,F,HHS,Department of Health and Human Services,Positive Youth Development,Fulltime-Regular,Community Services Aide III,03/30/2009,2009
144,M,HHS,Department of Health and Human Services,Environmental Health and Regulatory Services,Fulltime-Regular,Environmental Health Specialist III,05/03/2004,2004
145,F,LIB,Department of Public Libraries,Germantown Library,Parttime-Regular,Library Assistant I,02/23/1994,1994
146,M,POL,Department of Police,PSB 3rd District Patrol,Fulltime-Regular,Police Officer III,07/18/2011,2011
147,F,HHS,Department of Health and Human Services,24 Hours Crisis Center,Fulltime-Regular,Supervisory Therapist,05/10/2010,2010
148,M,DOT,Department of Transportation,Transit Gaithersburg Ride On,Fulltime-Regular,Bus Operator,06/23/2003,2003
149,M,DTS,Department of Technology Services,ESOD Core Services,Fulltime-Regular,Senior Information Technology Specialist,08/10/1992,1992
150,F,HHS,Department of Health and Human Services,Early Childhood Services,Fulltime-Regular,Program Specialist II,07/01/2013,2013
151,M,DOT,Department of Transportation,Transit Nicholson Ride On,Fulltime-Regular,Bus Operator,03/02/2015,2015
152,M,FRS,Fire and Rescue Services,Station 31,Fulltime-Regular,Master Firefighter/Rescuer,01/30/2006,2006
153,M,DPS,Department of Permitting Services,"Team 4 Commercial Electrical, Mechanical and Fire Protection Systems",Fulltime-Regular,Permitting and Code Enforcement Inspector III,07/18/2005,2005
154,M,COR,Correction and Rehabilitation,DS MCCF Unit 3 Security,Fulltime-Regular,Correctional Officer III (Corporal),06/01/1997,1997
155,M,DTS,Department of Technology Services,ESOD Public Safety Data Support,Fulltime-Regular,Senior Information Technology Specialist,02/23/2004,2004
156,F,LIB,Department of Public Libraries,Rockville Library,Fulltime-Regular,Library Associate II,11/30/1992,1992
157,M,FRS,Fire and Rescue Services,Station 12,Fulltime-Regular,Fire/Rescue Captain,09/11/2000,2000
158,M,FRS,Fire and Rescue Services,Station 9,Fulltime-Regular,Firefighter/Rescuer III,03/17/2008,2008
159,M,DLC,Department of Liquor Control,Stock Liquor and Wine Warehouse Operations,Fulltime-Regular,Senior Supply Technician,06/22/1993,1993
160,F,HHS,Department of Health and Human Services,School Health Services,Fulltime-Regular,Community Health Nurse II,07/30/2013,2013
161,F,HHS,Department of Health and Human Services,Behavioral Health Planning and Management,Fulltime-Regular,Program Manager I,02/22/2005,2005
162,M,DOT,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Bus Operator,01/04/2016,2016
163,F,DEP,Department of Environmental Protection,Field Services,Fulltime-Regular,Environmental Health Specialist III,03/19/2007,2007
164,F,HHS,Department of Health and Human Services,Child Welfare Services,Fulltime-Regular,Social Worker III,07/07/1996,1996
165,M,DPS,Department of Permitting Services,Land Development Permit Processing,Parttime-Regular,Office Clerk,08/22/2016,2016
166,M,POL,Department of Police,PSB 5th District Patrol,Fulltime-Regular,Police Officer I,02/09/2015,2015
167,M,FRS,Fire and Rescue Services,Station 15,Fulltime-Regular,Firefighter/Rescuer II,03/10/2014,2014
168,F,HCA,Department of Housing and Community Affairs,Housing,Fulltime-Regular,Office Services Coordinator,06/27/1988,1988
169,M,FRS,Fire and Rescue Services,Station 16,Fulltime-Regular,Firefighter/Rescuer II,03/10/2014,2014
170,M,POL,Department of Police,PSB 4th District Patrol,Fulltime-Regular,Police Officer III,07/19/2004,2004
171,M,POL,Department of Police,FSB Traffic Division Automated Traffic Enforcement Section,Fulltime-Regular,Traffic Enforcement Field Service Technician II,04/16/2001,2001
172,M,SHF,Sheriff's Office,Evictions,Fulltime-Regular,Deputy Sheriff III,07/19/2004,2004
173,M,COR,Correction and Rehabilitation,DS MCDC Custody and Security,Fulltime-Regular,Correctional Officer I (Private),08/26/2013,2013
174,M,CEX,Offices of the County Executive,Planning Implementation,Fulltime-Regular,Senior Planning Specialist,06/11/2007,2007
175,M,DGS,Department of General Services,ADA Compliance,Fulltime-Regular,Program Specialist II,12/29/2003,2003
176,F,LIB,Department of Public Libraries,Rockville Library,Fulltime-Regular,Librarian II,01/14/2013,2013
177,F,POL,Department of Police,MSB Communications Division,Fulltime-Regular,Public Safety Communications Specialist II,06/20/1994,1994
178,M,POL,Department of Police,PSB 3rd District Patrol,Fulltime-Regular,Police Officer I,08/12/2013,2013
179,F,HHS,Department of Health and Human Services,Chief Office of Community Affairs,Parttime-Regular,Planning Specialist III,07/30/2012,2012
180,F,HHS,Department of Health and Human Services,Child and Adolescent Mental Health Clinic Services,Fulltime-Regular,Therapist I,08/24/2015,2015
181,M,DGS,Department of General Services,Fleet Management Fleet Services,Fulltime-Regular,Mechanic Technician II,02/19/2008,2008
182,M,CEC,Community Engagement Cluster,Community Partnerships,Fulltime-Regular,Community Outreach Manager,04/06/2014,2014
183,F,HHS,Department of Health and Human Services,Positive Youth Development,Fulltime-Regular,Office Services Coordinator,08/13/2012,2012
184,M,POL,Department of Police,PSB 3rd District Patrol,Fulltime-Regular,Police Officer III,07/19/2004,2004
185,M,DOT,Department of Transportation,Highway Services,Fulltime-Regular,Equipment Operator I,10/31/1988,1988
186,M,HRC,Office of Human Rights,Compliance,Fulltime-Regular,Investigator III,11/20/2000,2000
187,F,POL,Department of Police,MSB Information Mgmt and Tech Division Warrant Control Section,Fulltime-Regular,Office Services Coordinator,09/15/1997,1997
188,F,HHS,Department of Health and Human Services,School Health Services,Fulltime-Regular,Community Health Nurse II,08/06/2012,2012
189,F,HHS,Department of Health and Human Services,School Health Services,Parttime-Regular,School Health Room Technician I,04/07/2015,2015
190,M,DLC,Department of Liquor Control,Silver Spring,Parttime-Regular,Liquor Store Clerk I,05/20/2012,2012
191,M,DOT,Department of Transportation,Transit Gaithersburg Ride On,Fulltime-Regular,Bus Operator,10/15/2000,2000
192,F,HHS,Department of Health and Human Services,Area Health Centers,Fulltime-Regular,Community Health Nurse II,04/19/2004,2004
193,M,POL,Department of Police,PSB 6th District Special Assignment Team,Fulltime-Regular,Police Officer III,06/11/2007,2007
194,F,POL,Department of Police,MSB Training and Education Division,Fulltime-Regular,Police Officer Candidate,07/11/2016,2016
195,F,REC,Department of Recreation,Kennedy Shriver Aquatic Center,Fulltime-Regular,Recreation Supervisor,09/18/1986,1986
196,F,HHS,Department of Health and Human Services,Adult Protective and Case Management Services,Fulltime-Regular,Principal Administrative Aide,01/08/2007,2007
197,M,DOT,Department of Transportation,Transit Gaithersburg Ride On,Fulltime-Regular,Bus Operator,04/19/1998,1998
198,F,HHS,Department of Health and Human Services,Income Supports,Fulltime-Regular,Income Assistance Program Specialist III,11/13/2000,2000
199,M,SHF,Sheriff's Office,Court and Transport,Fulltime-Regular,Deputy Sheriff Sergeant,03/04/1991,1991
200,F,HHS,Department of Health and Human Services,Income Supports,Fulltime-Regular,Income Assistance Program Specialist I,08/10/2015,2015
201,M,DLC,Department of Liquor Control,Stock Liquor and Wine Warehouse Operations,Fulltime-Regular,Warehouse Worker,09/25/2005,2005
202,M,DPS,Department of Permitting Services,"Team 3 Commercial Building, Life Safety, Structural and Accessibility",Fulltime-Regular,Senior Permitting Services Specialist,04/22/2013,2013
203,F,DOT,Department of Transportation,Transportation Property Acquisition Section,Fulltime-Regular,Real Estate Specialist III,03/19/1979,1979
204,M,DLC,Department of Liquor Control,Goshen Crossing,Fulltime-Regular,Liquor Store Assistant Manager,09/24/2002,2002
205,M,DOT,Department of Transportation,Transit Gaithersburg Ride On,Fulltime-Regular,Bus Operator,11/27/1995,1995
206,M,DEP,Department of Environmental Protection,Solid Waste Northern Operations,Fulltime-Regular,Program Manager II,02/07/2000,2000
207,F,HHS,Department of Health and Human Services,Emergency Housing Assistance,Fulltime-Regular,Community Services Aide III,04/16/2007,2007
208,M,DEP,Department of Environmental Protection,Construction,Fulltime-Regular,Construction Representative III,01/14/2013,2013
209,M,POL,Department of Police,PSB 2nd District Patrol,Fulltime-Regular,Master Police Officer,09/23/1985,1985
210,M,FRS,Fire and Rescue Services,Recruit Training,Fulltime-Regular,Firefighter/Rescuer I (Recruit),12/12/2016,2016
211,F,HHS,Department of Health and Human Services,Child Welfare Services,Fulltime-Regular,Social Worker II,02/19/2008,2008
212,M,HCA,Department of Housing and Community Affairs,Community Development,Fulltime-Regular,Manager II,11/04/1996,1996
213,M,FRS,Fire and Rescue Services,Station 25,Fulltime-Regular,Firefighter/Rescuer III,03/19/2007,2007
214,M,POL,Department of Police,FSB Security Services Division,Fulltime-Regular,Security Officer IV (Lieutenant),01/03/2012,2012
215,M,POL,Department of Police,PSB 1st District Station,Fulltime-Regular,Police Captain,08/07/1989,1989
216,M,FRS,Fire and Rescue Services,Station 16,Fulltime-Regular,Fire/Rescue Lieutenant,06/15/1992,1992
217,F,HHS,Department of Health and Human Services,Emergency Housing Assistance,Fulltime-Regular,Social Worker IV,02/01/1999,1999
218,F,OHR,Office of Human Resources,Recruitment and Selection Division,Fulltime-Regular,Human Resources Specialist II,04/07/2014,2014
219,M,DOT,Department of Transportation,Transit Nicholson Ride On,Fulltime-Regular,Bus Operator,12/22/2014,2014
220,M,CEC,Community Engagement Cluster,Silver Spring Urban District,Fulltime-Regular,Public Service Worker II,02/14/2010,2010
221,F,COR,Correction and Rehabilitation,DS MCDC Custody and Security,Fulltime-Regular,Correctional Officer III (Corporal),07/23/2007,2007
222,M,DGS,Department of General Services,Facilities Maintenance,Fulltime-Regular,Building Services Worker II,07/05/1988,1988
223,F,HHS,Department of Health and Human Services,"Planning, Accountability and Customer Service",Fulltime-Regular,Public Information Officer II,08/27/1990,1990
224,M,HHS,Department of Health and Human Services,Income Supports,Fulltime-Regular,Income Assistance Program Specialist II,12/01/2003,2003
225,M,DOT,Department of Transportation,Highway Services,Fulltime-Regular,Equipment Operator II,11/06/2001,2001
226,M,FRS,Fire and Rescue Services,Station 29,Fulltime-Regular,Master Firefighter/Rescuer,09/04/2001,2001
227,F,DOT,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Bus Operator,07/10/2006,2006
228,M,DOT,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Bus Operator,06/22/2015,2015
229,M,FRS,Fire and Rescue Services,Station 40,Fulltime-Regular,Master Firefighter/Rescuer,02/08/1999,1999
230,M,DLC,Department of Liquor Control,Beer Delivery Operations,Fulltime-Regular,Truck Driver/Warehouse Worker,01/11/2016,2016
231,F,HHS,Department of Health and Human Services,Area Health Centers,Fulltime-Regular,Community Services Aide III,08/09/2004,2004
232,M,FRS,Fire and Rescue Services,Station 18,Fulltime-Regular,Firefighter/Rescuer III,09/20/1993,1993
233,F,POL,Department of Police,PSB 3rd District Patrol,Fulltime-Regular,Police Officer III,01/26/2004,2004
234,F,HHS,Department of Health and Human Services,Early Childhood Services,Fulltime-Regular,Manager II,07/02/2012,2012
235,M,DLC,Department of Liquor Control,Beer Warehouse Operations,Fulltime-Regular,Supply Technician II,08/11/2014,2014
236,F,FIN,Department of Finance,Payroll,Fulltime-Regular,Program Specialist II,05/07/2001,2001
237,F,POL,Department of Police,MSB Training and Education Division,Fulltime-Regular,Police Officer Candidate,07/11/2016,2016
238,M,DOT,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Bus Operator,04/27/2015,2015
239,M,COR,Correction and Rehabilitation,DS MCCF Unit 2 Security,Fulltime-Regular,Correctional Supervisor (Sergeant),12/08/1997,1997
