,current_annual_salary
647,43525.72
648,43525.72
649,65278.51
650,66065.23
651,97224.98
652,129536.16
653,40631.32
654,102664.0
655,149596.97
656,39257.31
657,104309.72
658,97392.47
659,147303.2
660,77065.0
661,77328.0
662,104717.28
663,56746.76
664,63458.74
665,43525.12
666,26208.35
667,83611.44
668,74891.6
669,106456.0
670,92756.7
671,36797.06
672,141370.9
673,48145.17
674,43440.79
675,69222.18
676,75000.0
677,56306.83
678,55122.12
679,118400.0
680,76132.0
681,43525.72
682,93396.0
683,56123.38
684,89620.0
685,74079.67
686,77328.0
687,74872.5
688,53935.39
689,23318.28
690,44300.0
691,78096.0
692,60501.0
693,127961.97
694,102707.07
695,73709.05
696,92756.7
697,70435.0
698,45145.07
699,40943.14
700,112899.0
701,51669.4
702,41220.18
703,87523.22
704,133067.15
705,48616.35
706,86588.0
707,57265.0
708,51394.0
709,50339.1
710,46626.87
711,60501.0
712,76546.0
713,97912.0
714,50910.0
715,47878.28
716,120768.0
717,65105.0
718,57265.0
719,52032.19
720,102664.0
721,92600.05
722,91969.07
723,118080.06
724,63345.0
725,100128.44
726,100849.36
727,97107.24
728,125000.0
729,77434.0
730,93120.47
731,97596.0
732,45151.08
733,81181.1
734,50910.0
735,64615.14
736,110886.71
737,53230.68
738,52853.59
739,93046.48
740,108540.0
741,64489.43
742,66197.01
743,74779.9
744,77434.0
745,48145.17
746,135313.72
747,55140.93
748,85405.0
749,81564.6
750,27805.44
751,57068.37
752,68800.0
753,133103.57
754,69222.18
755,46325.1
756,105743.92
757,66894.28
758,69523.38
759,47644.65
760,108538.0
761,94006.07
762,43525.72
763,79920.54
764,120967.0
765,45261.0
766,103506.0
767,67665.5
768,43422.51
769,64141.0
770,89620.0
771,90773.64
772,169627.18
773,87523.22
774,73801.0
775,20419.48
776,110229.0
777,45261.0
778,79383.0
779,41781.91
780,54538.0
781,117271.79
782,58455.0
783,43761.61
784,44753.0
785,97912.0
786,73801.0
787,60775.0
788,120768.0
789,45261.0
790,65752.0
791,87523.22
792,85035.1
793,89620.0
794,26208.35
795,112899.0
796,46964.65
797,92756.7
798,81421.63
799,79298.55
800,101657.58
801,40631.32
802,58422.0
803,58277.84
804,72902.0
805,148310.73
806,106448.44
807,75453.0
808,76015.03
809,45397.14
810,75453.0
811,89620.0
812,81066.0
813,28772.17
814,42053.83
815,146899.63
816,104717.28
817,65752.0
818,92756.7
819,55054.0
820,63493.0
821,104717.28
822,32098.0
823,107657.0
824,83811.81
825,78600.39
826,79750.01
827,92363.46
828,92756.7
829,48145.0
830,92756.7
831,92756.7
832,102664.0
833,69040.0
834,20419.48
835,90000.0
836,39163.74
837,77343.0
838,73908.98
839,81824.52
840,87523.22
841,103290.84
842,37934.4
843,96197.88
844,104717.28
845,57620.0
846,175127.0
847,53380.28
848,64854.0
849,46626.87
850,84974.0
851,156099.95
852,97912.0
853,39257.31
854,102664.0
855,57265.0
856,62678.21
857,43244.28
858,48145.0
859,64788.65
860,34710.46
861,60711.33
862,42053.83
863,41781.91
864,56690.07
865,69222.18
866,27805.44
867,71380.33
868,45261.0
869,76936.0
870,132755.52
871,79647.84
872,125884.02
873,81066.0
874,60201.44
875,61398.98
876,92756.7
877,27799.2
878,57476.06
879,69705.46
880,97224.98
881,60559.39
882,63171.74
883,118930.0
884,47693.0
885,49364.0
886,63492.87
887,67126.0
888,60501.0
889,83497.98
890,55251.81
891,78096.0
892,50910.0
893,55123.38
894,89921.79
895,113997.23
896,48145.0
897,104520.0
898,97755.0
899,42268.33
900,63345.0
901,97755.0
902,110229.0
903,41781.91
904,63345.0
905,79425.81
906,71796.0
907,107657.0
908,190550.0
909,92756.7
910,76675.72
911,51703.33
912,65716.0
913,105766.41
914,47693.0
915,134886.84
916,96863.75
917,68888.03
918,67922.0
919,37684.0
920,58720.0
921,140794.0
922,76182.23
923,53788.0
924,94858.05
925,50910.0
926,65752.0
927,135392.0
928,156525.0
929,57807.08
930,83658.0
931,103506.0
932,59843.02
933,58455.0
934,76015.03
935,96624.0
936,89620.0
937,39834.51
938,36797.08
939,97912.0
940,43422.51
941,71908.0
942,39832.99
943,53788.0
944,60201.44
945,91707.19
946,102664.0
947,45261.0
948,64836.35
949,48571.6
950,68054.0
951,88168.0
952,55275.0
953,56351.36
954,42053.83
955,46626.87
956,73891.64
957,45049.12
958,46939.47
959,36797.13
960,66745.25
961,39257.31
962,48049.32
963,65423.82
964,80002.98
965,61936.52
966,149658.29
967,92756.7
968,97392.47
969,42053.83
970,42053.83
971,60711.33
972,102664.0
973,62903.0
974,65105.0
975,58448.0
976,45000.0
977,103506.0
978,90937.39
979,137238.09
980,72733.72
981,83497.98
982,75053.66
983,66065.23
984,41220.18
985,50424.68
986,72902.0
987,84871.0
988,76712.99
989,60775.0
990,93396.0
991,40631.32
992,81824.52
993,57068.63
994,87523.22
995,54580.29
996,75524.37
997,58455.0
998,58455.0
999,77029.0
1000,97392.47
1001,86673.48
1002,83497.98
1003,50785.5
1004,100926.51
1005,55328.0
1006,46626.87
1007,69222.18
1008,122958.53
1009,85405.0
1010,39257.31
1011,92756.7
1012,43244.28
1013,77343.0
1014,112266.0
1015,68604.51
1016,83497.98
1017,40631.32
1018,123902.96
1019,66065.23
1020,86588.0
1021,53788.0
1022,83033.41
1023,83497.98
1024,53000.0
1025,83658.0
1026,60581.15
1027,87967.15
1028,77328.0
1029,26208.35
1030,46972.19
1031,97755.0
1032,83497.98
1033,83594.69
1034,47693.0
1035,52693.0
1036,24510.63
1037,76015.03
1038,46626.06
1039,69744.0
1040,67564.92
1041,48513.67
1042,57244.34
1043,78052.0
1044,38618.11
1045,135392.0
1046,128560.48
1047,60713.84
1048,43525.72
1049,107128.71
1050,83516.0
1051,105743.92
1052,114087.02
1053,97755.0
1054,50699.16
1055,104717.28
1056,73561.26
1057,94277.96
1058,68186.6
1059,61344.0
1060,79728.0
1061,72902.0
1062,64489.43
1063,48098.94
1064,95263.92
1065,156525.0
1066,41781.91
1067,107657.0
1068,57807.08
1069,56949.91
1070,156525.0
1071,102664.0
1072,22425.81
1073,114087.02
1074,82378.23
1075,130472.49
1076,93157.22
1077,67461.19
1078,58625.89
1079,65337.71
1080,79647.84
1081,46626.87
1082,59302.0
1083,88859.0
1084,156525.0
1085,83497.98
1086,81066.0
1087,73801.0
1088,118930.0
1089,146258.77
1090,60515.7
1091,26208.35
1092,70422.0
1093,57921.39
1094,68015.0
1095,37838.73
1096,77434.0
1097,50910.0
1098,50910.0
1099,69785.49
1100,88859.0
1101,96763.35
1102,50910.0
1103,61888.87
1104,40885.13
1105,72902.0
1106,43525.72
1107,57552.08
1108,81824.52
1109,49831.0
1110,43525.72
1111,70435.0
1112,85405.0
1113,80829.0
1114,103506.0
1115,123902.96
1116,72967.98
1117,77027.04
1118,86708.62
1119,86537.84
1120,83516.0
1121,39351.09
1122,97392.47
1123,35411.29
1124,87148.0
1125,83033.41
1126,86910.51
1127,85425.0
1128,42053.42
1129,102664.0
1130,53788.0
1131,97912.0
1132,73801.0
1133,68054.0
1134,58455.0
1135,69744.0
1136,87773.59
1137,90904.0
1138,107128.71
1139,69691.73
1140,106456.0
1141,51969.0
1142,83497.98
1143,45049.12
1144,102664.0
1145,28772.07
1146,39750.3
1147,77434.0
1148,42367.37
1149,65752.0
1150,29779.09
1151,60501.0
1152,93396.0
1153,73801.0
1154,87523.22
1155,29779.06
1156,50863.92
1157,87523.22
1158,79663.29
1159,99564.45
1160,43525.72
1161,69787.05
1162,39257.31
1163,78096.0
1164,17269.0
1165,46504.09
1166,65427.63
1167,97912.0
1168,94277.96
1169,140049.75
1170,48145.0
1171,77029.0
1172,107128.71
1173,45852.0
1174,41953.24
1175,72269.66
1176,43525.72
1177,60501.0
1178,76015.03
1179,99870.24
1180,54797.84
1181,56843.28
1182,37838.73
1183,54022.26
1184,135392.0
1185,47985.0
1186,47693.0
1187,45261.0
1188,45261.0
1189,71830.44
1190,66065.23
1191,67126.0
1192,57103.49
1193,106754.6
1194,55122.12
1195,89620.0
1196,18246.95
1197,78889.86
1198,19728.85
1199,135392.0
1200,52693.0
1201,92756.7
1202,148310.87
1203,55191.54
1204,105338.48
1205,29779.06
1206,91751.37
1207,83570.17
1208,61725.0
1209,72686.46
1210,58729.79
1211,54568.0
1212,57773.8
1213,87523.22
1214,89472.5
1215,40946.23
1216,74333.0
1217,107128.71
1218,104717.28
1219,95263.92
1220,44694.45
1221,84974.0
1222,76529.51
1223,52233.06
1224,66065.23
1225,96197.88
1226,93396.0
1227,39257.0
1228,100009.77
1229,107128.71
1230,61860.6
1231,73801.0
1232,107128.71
1233,94277.96
1234,65752.0
1235,25445.0
1236,102664.0
1237,50910.0
1238,40631.32
1239,98507.48
1240,68015.0
1241,67206.0
1242,70435.0
1243,46626.08
1244,70396.0
1245,97912.0
1246,56300.0
1247,36180.0
1248,94099.0
1249,49068.0
1250,89079.0
1251,64184.58
1252,56478.0
1253,46325.18
1254,64141.0
1255,52563.37
1256,75453.0
1257,78708.7
1258,100849.36
1259,93127.75
1260,68015.0
1261,123902.96
1262,63004.38
1263,95001.52
1264,118400.0
1265,77875.24
1266,62958.95
1267,59925.06
1268,118400.0
1269,67126.0
1270,49104.51
1271,80784.0
1272,110886.71
1273,89620.0
1274,89891.03
1275,74815.0
1276,75277.02
1277,93396.0
1278,88189.17
1279,71216.52
1280,55889.73
1281,33395.15
1282,68971.62
1283,190429.0
1284,52081.11
1285,57365.0
1286,36797.11
1287,114303.0
1288,80784.0
1289,60403.27
1290,107128.71
1291,70422.0
1292,131348.75
1293,54402.73
1294,29779.07
1295,64141.0
1296,96197.88
1297,77649.51
1298,76015.03
1299,61463.39
1300,94099.0
1301,52693.0
1302,70422.0
1303,79676.0
1304,103708.64
1305,55820.61
1306,38020.38
1307,116282.95
1308,66358.15
1309,78096.0
1310,74779.89
1311,18416.05
1312,79676.0
1313,44300.0
1314,97224.98
1315,105360.22
1316,114087.02
1317,99870.24
1318,65105.0
1319,58448.0
1320,46325.1
1321,58327.42
1322,156511.2
1323,67384.0
1324,92756.7
1325,45261.0
1326,67993.85
1327,53259.3
1328,104717.28
1329,64141.0
1330,45261.0
1331,72902.0
1332,57476.06
1333,49618.44
1334,76741.59
1335,41781.91
1336,117174.02
1337,97912.0
1338,92756.7
1339,92756.7
1340,68943.0
1341,90900.83
1342,97392.47
1343,64541.64
1344,135043.61
1345,37386.0
1346,22376.5
1347,112899.0
1348,67206.0
1349,51697.37
1350,102664.0
1351,92756.7
1352,81131.46
1353,64871.95
1354,72861.0
1355,71469.87
1356,77328.0
1357,44475.41
1358,40728.37
1359,135378.04
1360,62417.64
1361,76076.95
1362,54402.73
1363,57234.12
1364,107128.71
1365,85854.0
1366,60713.84
1367,45261.0
1368,71377.33
1369,134105.88
1370,57807.08
1371,97392.47
1372,76405.9
1373,92756.7
1374,47940.52
1375,92756.7
1376,89620.0
1377,55275.0
1378,48571.6
1379,100849.36
1380,86588.0
1381,92756.7
1382,96197.88
1383,75476.5
1384,93962.42
1385,118400.0
1386,58455.0
1387,46325.1
1388,59325.62
1389,39218.77
1390,60711.33
1391,84974.0
1392,55022.21
1393,91969.07
1394,84974.0
1395,41517.19
1396,27527.1
1397,97912.0
1398,48258.81
1399,75928.99
1400,44300.0
1401,94277.96
1402,65069.63
1403,69222.18
1404,118400.0
1405,107657.0
1406,56305.93
1407,42662.89
1408,50910.0
1409,77096.48
1410,50131.24
1411,70422.0
1412,91220.65
1413,149164.0
1414,83658.0
1415,103506.0
1416,49949.25
1417,57476.06
1418,91751.37
1419,76015.03
1420,75453.0
1421,45048.5
1422,97912.0
1423,52693.0
1424,50407.03
1425,58671.02
1426,43850.22
1427,67206.0
1428,102664.0
1429,19060.61
1430,71926.13
1431,67384.0
1432,21074.1
1433,118400.0
1434,118400.0
1435,102664.0
1436,140794.0
1437,72916.8
1438,118400.0
1439,53788.0
1440,42441.06
1441,56478.0
1442,60687.97
1443,34824.37
1444,93396.0
1445,118400.0
1446,113000.0
1447,60653.65
1448,75914.09
1449,97912.0
1450,54208.95
1451,60403.27
1452,23211.46
1453,68054.0
1454,71130.74
1455,66065.23
1456,72534.66
1457,89620.0
1458,77328.0
1459,9196.0
1460,40631.32
1461,58455.0
1462,115324.45
1463,66100.63
1464,45767.7
1465,92194.09
1466,135343.18
1467,135392.0
1468,44300.0
1469,55769.09
1470,81646.1
1471,104717.28
1472,27799.2
1473,52693.0
1474,91751.37
1475,88168.0
1476,80829.0
1477,69495.42
1478,57231.78
1479,97912.0
1480,53788.0
1481,103708.64
1482,60653.65
1483,51062.83
1484,93356.0
1485,73801.0
1486,62585.0
1487,60639.11
1488,58448.0
1489,100382.71
1490,74713.0
1491,60000.0
1492,41781.91
1493,25445.0
1494,50910.0
1495,73301.22
1496,39257.31
1497,64853.44
1498,64141.0
1499,92756.7
1500,37838.46
1501,83971.06
1502,77231.0
1503,70422.0
1504,107128.71
1505,92756.7
1506,75453.0
1507,36797.11
1508,86934.9
1509,102664.0
1510,96197.88
1511,56462.68
1512,46626.87
1513,97912.0
1514,70435.0
1515,135392.0
1516,118400.0
1517,65711.16
1518,36797.13
1519,84145.99
1520,118400.0
1521,171641.0
1522,64465.03
1523,70358.59
1524,62482.02
1525,72902.0
1526,63492.87
1527,56922.23
1528,70211.81
1529,47878.29
1530,50910.0
1531,68184.0
1532,78755.48
1533,66065.23
1534,55123.38
1535,69222.18
1536,80829.0
1537,89079.0
1538,58455.0
1539,48258.81
1540,97912.0
1541,44300.0
1542,26208.35
1543,44094.59
1544,103506.0
1545,35368.71
1546,56990.0
1547,88436.5
1548,30860.0
1549,60201.44
1550,59888.68
1551,79747.75
1552,49922.96
1553,52693.0
1554,104717.28
1555,70396.0
1556,87497.4
1557,83611.44
1558,69222.18
1559,49625.72
1560,89079.0
1561,58150.61
1562,39257.31
1563,71203.8
1564,117174.02
1565,107128.71
1566,95187.98
1567,42053.42
1568,76015.03
1569,40631.32
1570,79366.1
1571,66443.06
1572,89485.0
1573,107256.43
1574,49364.0
1575,113316.0
1576,101176.43
1577,79728.0
1578,56145.65
1579,116139.35
1580,78128.59
1581,62585.0
1582,107128.71
1583,138120.49
1584,83658.0
1585,83904.14
1586,135392.0
1587,55328.0
1588,65752.0
1589,20419.48
1590,42053.83
1591,59072.0
1592,65752.0
1593,100878.6
1594,79459.87
1595,71176.06
1596,93356.0
1597,91751.37
1598,100849.36
1599,87523.22
1600,45261.0
1601,84201.0
1602,64871.95
1603,66065.23
1604,41953.24
1605,92756.7
1606,120768.0
1607,93396.0
1608,119713.0
1609,100849.36
1610,94600.0
1611,95187.98
1612,97912.0
1613,46626.87
1614,91065.13
1615,37838.41
1616,54379.75
1617,131348.75
1618,131348.75
1619,83313.58
1620,95425.38
1621,72247.77
1622,91738.02
1623,43525.72
1624,42634.57
1625,61408.0
1626,41829.0
1627,42118.95
1628,80784.0
1629,88168.0
1630,85854.0
1631,136039.63
1632,102664.0
1633,87523.22
1634,96763.35
1635,81066.0
1636,54000.0
1637,93643.25
1638,52693.0
1639,52563.37
1640,46363.8
1641,83658.0
1642,84974.0
1643,97560.0
1644,50211.0
1645,70435.0
1646,113380.15
1647,66515.0
1648,57235.41
1649,39257.31
1650,74815.0
1651,185000.0
1652,136713.45
1653,16049.0
1654,89620.0
1655,100849.36
1656,89620.0
1657,45406.47
1658,86083.36
1659,59896.56
1660,16610.68
1661,89620.0
1662,57620.0
1663,87841.0
1664,92756.7
1665,42053.42
1666,135392.0
1667,56966.87
1668,45048.5
1669,88859.0
1670,38831.29
1671,48260.15
1672,103708.64
1673,56351.06
1674,43525.72
1675,92756.7
1676,122788.02
1677,45261.0
1678,107128.71
1679,131348.75
1680,110229.0
1681,97912.0
1682,71602.58
1683,56305.92
1684,60048.75
1685,104717.6
1686,144472.55
1687,71174.58
1688,46704.68
1689,52106.99
1690,56850.0
1691,91751.37
1692,97912.0
1693,42146.57
1694,42053.42
1695,63820.41
1696,77343.0
1697,58720.0
1698,75453.0
1699,97392.47
1700,57807.08
1701,83155.12
1702,118400.0
1703,64141.0
1704,57807.08
1705,55307.96
1706,75277.02
1707,66065.23
1708,40636.83
1709,49922.95
1710,67753.0
1711,39257.0
1712,58975.23
1713,68054.0
1714,57315.42
1715,104717.28
1716,107128.71
1717,116124.02
1718,70422.0
1719,110623.67
1720,37869.3
1721,89620.0
1722,56695.35
1723,16610.72
1724,64141.0
1725,43525.72
1726,49732.31
1727,24978.81
1728,82556.0
1729,72861.0
1730,88120.8
1731,50201.32
1732,48145.0
1733,85445.0
1734,50699.15
1735,41829.0
1736,78096.0
1737,42053.83
1738,65716.0
1739,125496.15
1740,51969.0
1741,55014.29
1742,156500.16
1743,54797.84
1744,107128.71
1745,53855.57
1746,89620.0
1747,93396.0
1748,57265.0
1749,72603.3
1750,89620.0
1751,73801.0
1752,100670.07
1753,48258.81
1754,41954.12
1755,73801.0
1756,65716.0
1757,83033.72
1758,50910.0
1759,73801.0
1760,75453.0
1761,50910.0
1762,80829.0
1763,21030.74
1764,104717.28
1765,90038.06
1766,86673.48
1767,70422.0
1768,112266.0
1769,43525.72
1770,58448.0
1771,64367.46
1772,60468.0
1773,57807.08
1774,39351.09
1775,60201.44
1776,87523.22
1777,30100.72
1778,113931.12
1779,156525.0
1780,102664.0
1781,114087.02
1782,68862.58
1783,68015.0
1784,87523.22
1785,63496.54
1786,45261.0
1787,87841.0
1788,42153.85
1789,49618.44
1790,37934.39
1791,76015.03
1792,142496.67
1793,159266.0
1794,119796.3
1795,60501.0
1796,55671.0
1797,74898.0
1798,93396.0
1799,67424.0
1800,70435.0
1801,58360.18
1802,58867.84
1803,73801.0
1804,48616.35
1805,87523.22
1806,44475.41
1807,99792.0
1808,97560.0
1809,46469.0
1810,56180.52
1811,70249.5
1812,78391.99
1813,47863.07
1814,29779.07
1815,55976.97
1816,81066.0
1817,97671.34
1818,72185.0
1819,60711.33
1820,66065.23
1821,100849.36
1822,70435.0
1823,73801.0
1824,58674.17
1825,100097.88
1826,69475.0
1827,66033.42
1828,106501.0
1829,69316.94
1830,92756.7
1831,69222.18
1832,114087.02
1833,44945.53
1834,58671.02
1835,58455.0
1836,89620.0
1837,67126.0
1838,148931.2
1839,41220.18
1840,60501.0
1841,107128.71
1842,41781.91
1843,62294.4
1844,65752.0
1845,90896.0
1846,69222.18
1847,92756.7
1848,44261.53
1849,96197.88
1850,44945.53
1851,107128.71
1852,35630.4
1853,60201.44
1854,35552.39
1855,103506.0
1856,53505.61
1857,76332.22
1858,91718.6
1859,115156.98
1860,52734.33
1861,65382.0
1862,93396.0
1863,43525.72
1864,102664.0
1865,124825.02
1866,71927.98
1867,118400.0
1868,81782.37
1869,115288.33
1870,97912.0
1871,123902.96
